TGL Business Unit,TGL Business Segment,TGL Business Subsegment
SSI027,SSI02710,SSI02710
SSI027,SSI02710,SSI0271002
SSI027,SSI02710,SSI0271004
SSI027,SSI02710,SSI0271006
SSI027,SSI02710,SSI0271099
SSI027,SSI02780,SSI02780
SSI027,SSI02780,SSI0278002
SSI027,SSI02780,SSI0278004
SSI027,SSI02780,SSI0278006
SSI027,SSI02780,SSI0278099
SSI027,SSI02782,SSI02782
SSI027,SSI02782,SSI0278202
SSI027,SSI02782,SSI0278204
SSI027,SSI02782,SSI0278206
SSI027,SSI02782,SSI0278208
SSI027,SSI02782,SSI0278210
SSI027,SSI02782,SSI0278212
SSI027,SSI02782,SSI0278214
SSI027,SSI02782,SSI0278216
SSI027,SSI02782,SSI0278291
SSI027,SSI02784,SSI02784
SSI027,SSI02784,SSI0278402
SSI027,SSI02784,SSI0278404
SSI027,SSI02784,SSI0278406
SSI027,SSI02784,SSI0278408
SSI027,SSI02784,SSI0278410
SSI027,SSI02784,SSI0278412
SSI027,SSI02784,SSI0278414
SSI027,SSI02784,SSI0278416
SSI027,SSI02784,SSI0278418
SSI027,SSI02784,SSI0278420
SSI027,SSI02784,SSI0278422
SSI027,SSI02784,SSI0278424
SSI027,SSI02784,SSI0278426
SSI027,SSI02784,SSI0278428
SSI027,SSI02784,SSI0278430
SSI027,SSI02784,SSI0278432
SSI027,SSI02784,SSI0278434
SSI027,SSI02784,SSI0278436
SSI027,SSI02784,SSI0278438
SSI027,SSI02784,SSI0278440
SSI027,SSI02784,SSI0278442
SSI027,SSI02784,SSI0278444
SSI027,SSI02784,SSI0278446
SSI027,SSI02784,SSI0278448
SSI027,SSI02784,SSI0278450
SSI027,SSI02784,SSI0278452
SSI027,SSI02784,SSI0278454
SSI027,SSI02784,SSI0278456
SSI027,SSI02784,SSI0278458
SSI027,SSI02784,SSI0278460
SSI027,SSI02784,SSI0278462
SSI027,SSI02784,SSI0278464
SSI027,SSI02784,SSI0278466
SSI027,SSI02784,SSI0278468
SSI027,SSI02784,SSI0278491
SSI027,SSI02786,SSI02786
SSI027,SSI02786,SSI0278602
SSI027,SSI02786,SSI0278604
SSI027,SSI02786,SSI0278606
SSI027,SSI02786,SSI0278608
SSI027,SSI02786,SSI0278610
SSI027,SSI02786,SSI0278612
SSI027,SSI02786,SSI0278614
SSI027,SSI02786,SSI0278616
SSI027,SSI02786,SSI0278618
SSI027,SSI02786,SSI0278620
SSI027,SSI02786,SSI0278622
SSI027,SSI02786,SSI0278624
SSI027,SSI02786,SSI0278626
SSI027,SSI02786,SSI0278630
SSI027,SSI02786,SSI0278691
SSI027,SSI02792,SSI02792
SSI027,SSI02793,SSI02793
SSI027,SSI02796,SSI02796
SSI027,SSI02798,SSI02798
SSI027,SSI02799,SSI02799
SSI037,SSI03781,SSI0378115
SSI037,SSI03781,SSI0378125
SSI037,SSI03781,SSI0378135
SSI037,SSI03781,SSI0378140
SSI037,SSI03781,SSI0378145
SSI037,SSI03781,SSI0378150
SSI037,SSI03781,SSI0378170
SSI037,SSI03781,SSI0378180
SSI037,SSI03781,SSI0378185
SSI037,SSI03781,SSI0378199
SSI037,SSI03782,SSI03782
SSI037,SSI03782,SSI0378210
SSI037,SSI03782,SSI0378215
SSI037,SSI03782,SSI0378218
SSI037,SSI03782,SSI0378220
SSI037,SSI03782,SSI0378230
SSI037,SSI03782,SSI0378240
SSI037,SSI03782,SSI0378250
SSI037,SSI03782,SSI0378260
SSI037,SSI03782,SSI0378270
SSI037,SSI03782,SSI0378280
SSI037,SSI03782,SSI0378285
SSI037,SSI03782,SSI0378287
SSI037,SSI03782,SSI0378289
SSI037,SSI03782,SSI0378290
SSI037,SSI03782,SSI0378299
SSI037,SSI03784,SSI03784
SSI037,SSI03798,SSI03798
SSI037,SSI03799,SSI03799
SSI047,SSI04781,SSI04781
SSI047,SSI04781,SSI0478110
SSI047,SSI04781,SSI0478120
SSI047,SSI04781,SSI0478130
SSI047,SSI04781,SSI0478140
SSI047,SSI04781,SSI0478150
SSI047,SSI04781,SSI0478199
SSI047,SSI04783,SSI04783
SSI047,SSI04783,SSI0478310
SSI047,SSI04784,SSI0478410
SSI047,SSI04784,SSI0478420
SSI047,SSI04784,SSI0478499
SSI047,SSI04799,SSI04799
SSI070,SSI07081,SSI07081
SSI070,SSI07081,SSI0708110
SSI070,SSI07081,SSI0708120
SSI070,SSI07081,SSI0708140
SSI070,SSI07081,SSI0708150
SSI070,SSI07081,SSI0708160
SSI070,SSI07081,SSI0708170
SSI070,SSI07081,SSI0708199
SSI070,SSI07082,SSI0708210
SSI070,SSI07082,SSI0708220
SSI070,SSI07082,SSI0708230
SSI070,SSI07082,SSI0708299
SSI070,SSI07083,SSI0708310
SSI070,SSI07098,SSI07098
SSI070,SSI07099,SSI07099
